Gene Name,Value 1
PA0181,0.237849
nirD,0
nirB,0.0804355
PA1781.1,0
PA1782,0
nasA,0
PA1784,0
PA1785,0
PA1786,0
acnB,2.3655
PA1788,0
PA0182,0
PA1789,6.83107
PA1790,0
PA1791,3.66774
PA1792,0
ppiB,6.48405
glnS,3.05447
cysS,5.32062
folD,1.71605
PA1796.1,0
PA1796.2,0
atsA,0.230985
PA1796.3,0
PA1796.4,0
PA1797a,0
PA1797,0
parS,0.452872
parR,1.09444
tig,6.74088
clpP,9.50374
clpX,55.3485
lon,32.829
PA0184,0
hupB,12.9853
PA1804.1,0
ppiD,5.80747
fabI,1.26702
PA1807,0.126915
PA1808,0.213862
PA1809,0.753512
PA1810,3.35684
PA1811,2.61799
mltD,2.05187
PA0185,0.126393
PA1813,0.71482
PA1814,0
rnhA,3.4018
dnaQ,0
PA1817,5.79076
ldcA,1.44527
PA1819,0
nhaB,0.439506
PA1821,1.32292
fimL,1.16319
PA0186,0
PA1823,1.57333
PA1824,0
PA1825,0
PA1826,0.246426
PA1827,0.427686
PA1828,1.16464
PA1829,1.94171
PA1830,14.0917
PA1831,0.953441
PA1832,2.64573
PA0187,0
PA1833,0
PA1833a,1.24398
PA1835,0
PA1836,0
PA1837,0
cysI,1.73803
PA1837a,5.02184
PA1839,1.15007
PA1840,0.886118
PA1841,0
PA0188,0.254588
PA1842,3.04464
metH,0.805265
PA1844,0
PA1845,0
cti,0.741624
PA1847,18.0686
PA1848,0
PA1849,0
PA1850,0
PA1851,0
PA0189,0.15353
PA1852,37.9956
PA1853,0.261072
PA1854,0
PA1855,0
PA1856,0.261635
PA1857,1.59595
str,0
PA1859,0
PA1860,0
modC,0.198663
PA0020,2.20961
PA0190,0
modB,0
modA,1.23268
PA1864,0.698705
PA1865,0
PA1866,0
PA1866a,0
xphA,0
xqhA,0.116977
PA1869,0
PA1870,1.66815
PA0191,0
lasA,0.474462
PA1872,0.407015
PA1873,0
PA1874,0.363615
PA1875,0
PA1876,0
PA1877,0.576106
PA1878,0.823485
PA1879,0
PA1880,0
PA0192,0
PA1881,0
PA1882,1.5973
PA1883,0
PA1884,0
PA1885,0
polB,0.115216
PA1887,0.507557
PA1888,0.67654
PA1889,0
PA1890,0.557874
PA0193,0
PA1891,0
PA1892,0.317722
PA1893,0
PA1894,0.828641
PA1895,0.165069
PA1896,0
PA1897,0.423385
qscR,0.616762
phzA2,0
phzB2,0
PA0194,0
phzC2,0
phzD2,0
phzE2,0
phzF2,0
phzG2,0
PA1906,0
PA1907,0.124349
PA1908,0
PA1909,0
femA,0
pntAA,0.266576
femR,0
femI,0
PA1913,1.20022
PA1914,0
PA1915,0.183507
PA1916,0
PA1917,0
PA1918,0.270613
nrdG,0.975076
nrdD,0.17895
pntAB,0
PA1921,0
PA1922,0
PA1923,0.050016
PA1924,0.823479
PA1925,3.1384
PA1926,0.524662
metE,0
rimJ,0.89362
PA1929,1.27283
PA1930,0.386648
pntB,0
PA1931,0
PA1932,0
PA1933,0.287557
PA1934,0
PA1937,0
PA1938,0
PA1939,8.32965
PA1940,0.531696
PA1941,0.399072
PA1942,0
tonB2,0
PA1943,0
PA1944,0.522385
PA1945,0.287525
rbsB,2.30335
rbsA,0
rbsC,0.305224
rbsR,0
rbsK,0
PA1951,0.470566
PA1952,0
exbB1,0
PA1953,2.30552
PA1954,0
PA1955,0
PA1956,0
PA1957,0
PA1958,0
bacA,0.762439
PA1960,0
PA1961,0
azoR2,0
recF,4.54138
PA0021,0
exbD1,0
PA1963,6.6712
PA1964,0.476937
PA1965,2.03007
PA1966,0
PA1967,2.80484
PA1968,3.62265
PA1969,0
PA1970,0
braZ,0.512403
PA1972,0
PA0200,125.023
pqqF,0
PA1974,0
PA1975,0
ercS',0.102087
PA1977,0
PA1978,0.362674
eraS,0
eraR,0
PA1981,0
exaA,0
PA0201,0
exaB,0
exaC,0
pqqA,0
pqqB,0.243499
pqqC,0
pqqD,0
pqqE,0.259192
pqqH,0
PA1991,0.335587
ercS,0.458168
PA0202,0
PA1993,0
PA1994,0
PA1995,0
ppiC1,0
PA1997,0.327748
dhcR,0
dhcA,0
dhcB,0
atoB,0
PA2002,0
PA0203,0
bdhA,0
PA2004,0.479576
PA2005,0.143165
PA2006,0
maiA,0
fahA,0.161599
hmgA,1.29925
PA2010,0
liuE,0.69054
liuD,0
PA0204,0
liuC,2.17597
liuB,0.303021
liuA,2.09651
liuR,50.4416
PA2017,0.332983
PA2018,0.297558
PA2019,0
PA2020,0
PA2021,0
PA2022,0
PA0205,0
galU,9.10113
PA2024,0
gor,8.1537
PA2026,0
PA2027,2.25202
PA2028,0
PA2029,0
PA2030,2.57714
PA2031,1.7326
PA2032,0
PA0206,0
PA2033,0
PA2034,0
PA2035,0.53839
PA2036,0
PA2037,6.47158
PA2038,1.13927
PA2039,0.875714
PA2040,0.151264
PA2041,1.01086
PA2042,0.553182
PA0207,0.250441
PA2043,0
PA2044,0.450769
PA2045,0
PA2047,0
PA2048,0
PA2049,0
PA2050,0
PA2051,0
cynS,0
mdcA,0
cynT,0
cynR,0.252497
PA2055,0
PA2056,0
PA2057,0.246729
PA2058,0
PA2059,0
PA2060,0.214608
PA2061,0.175477
PA2062,0
PA0022,0
PA0209,0
PA2063,0
pcoB,0
pcoA,0
PA2066,0.716831
PA2067,0
PA2068,0.335587
PA2069,0.117686
PA2070,0.0742225
fusA2,0.396357
PA2072,0.075684
mdcC,0
PA2073,0
PA2074,0
PA2075,0.122613
PA2076,0.742253
PA2077,0
PA2078,0
PA2079,0.295266
kynU,1.58173
kynB,0
PA2082,1.92432
mdcD,0.364709
PA2083,0.393966
PA2084,0
PA2085,0
PA2086,0
PA2087,0
PA2088,0.266734
PA2089,0.10184
PA2090,0
PA2091,0.299212
PA2092,0
mdcE,0
PA2093,1.26659
PA2094,0
PA2095,0.374439
PA2096,0
PA2097,0
PA2098,0
PA2099,0
PA2100,1.52739
PA2101,6.35104
PA2102,1.17004
PA0213,0
PA2103,0.431283
PA2104,0
PA2105,0.481467
PA2106,1.68047
PA2107,0
PA2108,0
PA2109,0
PA2110,0
PA2111,0
