key,KN1_R2
BSU10480,2875.6
BSU10490,1837.2
BSU10500,117.7
BSU10510,420.7
BSU10520,19.5
BSU10530,176.5
BSU10540,46.9
BSU10550,27
BSU10560,286.5
BSU10570,3324.5
BSU10580,61.7
BSU10590,515.5
BSU10600,36.4
BSU10610,0
BSU10620,13734.7
BSU10630,17208.3
BSU10640,11256.7
BSU10650,11156
BSU10660,5026.1
BSU10670,121.3
BSU10680,113.8
BSU10690,175.4
BSU10700,186
BSU10710,186.9
BSU10720,25.2
BSU10730,26.6
BSU10740,7.7
BSU10750,511.3
BSU10760,3035.5
BSU10770,268.3
BSU10780,73.4
BSU10790,22
BSU10800,92.4
BSU10810,627.5
BSU10820,89.8
BSU10830,1571.6
BSU10840,1867.8
BSU10850,326.8
BSU10860,536
BSU10870,933.8
BSU10880,1706.2
BSU10890,1604.4
BSU10900,398
BSU10910,40.3
BSU10920,59.8
BSU10930,18.6
BSU10940,63.7
BSU10950,12.9
BSU10960,32.4
BSU10970,286.8
BSU10980,240
BSU10990,3732.1
BSU11000,2572.2
BSU11010,4121.1
BSU11020,6116.4
BSU11030,5313
BSU11040,63.8
BSU11055,31.9
BSU11070,135.2
BSU11079,657.4
BSU11080,2050
BSU11090,752
BSU11100,102.5
BSU11110,2014.9
BSU11120,2074.2
BSU11130,4461.5
BSU11139,29471.1
BSU11140,1945.7
BSU11150,2947.4
BSU11160,21288.8
BSU11170,554.8
BSU11180,221.7
BSU11190,1535.9
BSU11200,3418.9
BSU11210,2730.5
BSU11220,2095.4
BSU11230,1190.2
BSU11240,1190.8
BSU11250,2146.5
BSU11260,1355.3
BSU11270,8498.9
BSU11280,243.8
BSU11290,136.6
BSU11300,5445.9
BSU11310,7740.9
BSU11320,121.6
BSU11330,5539.2
BSU11340,8927
BSU11350,43.1
BSU11360,187.8
BSU11370,142
BSU11381,182.5
BSU11382,147.2
BSU11390,313.7
BSU11400,365
BSU11410,4.2
BSU11420,21203.2
BSU11430,80032.4
BSU11440,29996.6
BSU11450,17588.4
BSU11460,55583.4
BSU11470,53462.5
BSU11480,186.7
BSU11490,21704.2
BSU11500,17251.6
BSU11510,237.5
BSU11520,14216.7
BSU11530,8
BSU11540,1961.9
