Gene,T389pH67_1
Fisuc_0387,106.7203
Fisuc_0388,7.7147
Fisuc_0389,209.5833
Fisuc_0390,68.1467
Fisuc_0391,360.0203
Fisuc_0392,659.6087
Fisuc_0393,1019.6290
Fisuc_0394,492.4564
Fisuc_0395,210.8691
Fisuc_0396,4083.6593
Fisuc_0397,546.4595
Fisuc_0398,56.5746
Fisuc_0399,47.5741
Fisuc_0400,248.1569
Fisuc_0401,218.5838
Fisuc_0402,57.8604
Fisuc_0403,70.7183
Fisuc_0404,102.8630
Fisuc_0405,123.4355
Fisuc_0406,5.1431
Fisuc_0407,7.7147
Fisuc_0408,3.8574
Fisuc_0411,78.4330
Fisuc_0412,21.8584
Fisuc_0413,41.1452
Fisuc_0414,1392.5073
Fisuc_0415,30.8589
Fisuc_0416,41.1452
Fisuc_0417,556.7457
Fisuc_0418,55.2888
Fisuc_0421,70.7183
Fisuc_0422,100.2914
Fisuc_0423,37.2878
Fisuc_0424,33.4305
Fisuc_0425,82.2904
Fisuc_0426,348.4483
Fisuc_0427,91.2909
Fisuc_0428,155.5802
Fisuc_0429,9.0005
Fisuc_0430,108.0061
Fisuc_0431,50.1457
Fisuc_0432,66.8609
Fisuc_0433,612.0346
Fisuc_0434,133.7218
Fisuc_0435,55.2888
Fisuc_0436,78.4330
Fisuc_0437,129.8645
Fisuc_0438,115.7208
Fisuc_0439,14.1437
Fisuc_0440,10.2863
Fisuc_0441,28.2873
Fisuc_0442,291.8736
Fisuc_0443,45.0025
Fisuc_0444,244.2995
Fisuc_0445,9.0005
Fisuc_0446,75.8614
Fisuc_0447,29.5731
Fisuc_0448,42.4310
Fisuc_0449,29.5731
Fisuc_0450,57.8604
Fisuc_0451,30.8589
Fisuc_0452,7.7147
Fisuc_0453,50.1457
Fisuc_0454,54.0031
Fisuc_0455,888.4788
Fisuc_0456,55.2888
Fisuc_0457,320.1609
Fisuc_0458,51.4315
Fisuc_0459,65.5751
Fisuc_0460,276.4442
Fisuc_0461,83.5762
Fisuc_0462,142.7224
Fisuc_0463,624.8925
Fisuc_0464,174.8670
Fisuc_0465,7.7147
Fisuc_0466,41.1452
Fisuc_0467,23.1442
Fisuc_0468,51.4315
Fisuc_0469,63.0036
Fisuc_0470,33.4305
Fisuc_0471,255.8716
Fisuc_0472,32.1447
Fisuc_0473,25.7157
Fisuc_0474,111.8635
Fisuc_0475,1419.5088
Fisuc_0476,69.4325
Fisuc_0477,70.7183
Fisuc_0478,16.7152
Fisuc_0479,308.5889
Fisuc_0480,100.2914
Fisuc_0481,213.4406
Fisuc_0482,403.7371
Fisuc_0483,2680.8658
Fisuc_0484,153.0086
Fisuc_0485,64.2893
Fisuc_0486,1647.0931
Fisuc_0487,12.8579
Fisuc_0488,25.7157
Fisuc_0489,174.8670
Fisuc_0490,424.3097
Fisuc_0491,30.8589
Fisuc_0492,10.2863
Fisuc_0493,66.8609
Fisuc_0494,61.7178
Fisuc_0495,315.0178
Fisuc_0496,126.0071
Fisuc_0497,176.1528
Fisuc_0498,11.5721
Fisuc_0500,534.8874
Fisuc_0501,497.5995
Fisuc_0502,27.0015
Fisuc_0503,137.5792
Fisuc_0504,105.4345
Fisuc_0505,48.8599
Fisuc_0506,101.5772
Fisuc_0507,106.7203
Fisuc_0508,23.1442
Fisuc_0509,93.8624
Fisuc_0510,113.1493
Fisuc_0511,100.2914
Fisuc_0512,110.5777
Fisuc_0513,401.1655
Fisuc_0514,91.2909
Fisuc_0515,192.8680
Fisuc_0516,25.7157
Fisuc_0517,19.2868
Fisuc_0518,117.0066
Fisuc_0519,91.2909
Fisuc_0520,144.0081
Fisuc_0522,43.7168
Fisuc_0523,20.5726
Fisuc_0524,2.5716
Fisuc_0525,65.5751
Fisuc_0526,18.0010
Fisuc_0527,21.8584
Fisuc_0528,91.2909
Fisuc_0530,87.4335
Fisuc_0531,9.0005
Fisuc_0532,39.8594
Fisuc_0533,16.7152
Fisuc_0534,267.4437
Fisuc_0539,1.2858
Fisuc_0540,7010.1104
Fisuc_0541,889.7646
Fisuc_0542,27.0015
Fisuc_0543,19.2868
Fisuc_0544,11.5721
Fisuc_0545,23.1442
Fisuc_0547,108.0061
Fisuc_0548,117.0066
Fisuc_0549,311.1604
Fisuc_0550,83.5762
Fisuc_0551,74.5756
Fisuc_0552,149.1513
Fisuc_0553,43.7168
Fisuc_0554,47.5741
Fisuc_0555,600.4625
Fisuc_0556,529.7442
Fisuc_0557,293.1594
Fisuc_0558,33.4305
Fisuc_0559,68.1467
Fisuc_0560,133.7218
Fisuc_0562,653.1798
Fisuc_0563,334.3046
Fisuc_0564,96.4340
Fisuc_0565,259.7290
Fisuc_0566,176.1528
Fisuc_0567,171.0097
Fisuc_0568,187.7249
Fisuc_0569,177.4386
Fisuc_0570,502.7427
Fisuc_0571,11.5721
Fisuc_0572,174.8670
Fisuc_0573,207.0117
Fisuc_0574,36.0020
Fisuc_0575,298.3026
Fisuc_0576,38.5736
Fisuc_0577,46.2883
Fisuc_0578,762.4717
Fisuc_0579,802.3311
Fisuc_0580,801.0453
Fisuc_0581,279.0158
Fisuc_0582,15.4294
Fisuc_0583,142.7224
Fisuc_0584,11.5721
Fisuc_0585,63.0036
Fisuc_0586,18.0010
Fisuc_0588,30.8589
Fisuc_0589,106.7203
Fisuc_0590,176.1528
Fisuc_0591,194.1538
Fisuc_0592,12.8579
Fisuc_0593,97.7198
Fisuc_0594,43.7168
Fisuc_0595,201.8686
Fisuc_0596,75.8614
Fisuc_0597,126.0071
Fisuc_0598,37.2878
Fisuc_0599,39.8594
Fisuc_0600,1049.2021
Fisuc_0601,183.8675
Fisuc_0602,7.7147
Fisuc_0603,5.1431
Fisuc_0604,10.2863
Fisuc_0605,32.1447
Fisuc_0606,47.5741
Fisuc_0607,43.7168
Fisuc_0608,151.7229
Fisuc_0609,837.0473
Fisuc_0610,65.5751
Fisuc_0611,10.2863
Fisuc_0612,33.4305
Fisuc_0613,23.1442
Fisuc_0614,45.0025
Fisuc_0615,306.0173
Fisuc_0616,9.0005
Fisuc_0617,360.0203
Fisuc_0618,843.4762
Fisuc_0619,47.5741
Fisuc_0620,897.4793
Fisuc_0621,45.0025
Fisuc_0622,39.8594
Fisuc_0623,25.7157
Fisuc_0624,38.5736
Fisuc_0625,37.2878
Fisuc_0626,60.4320
Fisuc_0627,27.0015
Fisuc_0628,168.4381
Fisuc_0629,73.2899
Fisuc_0630,162.0092
Fisuc_0631,68.1467
Fisuc_0632,145.2939
Fisuc_0633,709.7544
Fisuc_0634,146.5797
Fisuc_0635,60.4320
Fisuc_0636,1113.4915
Fisuc_0637,162.0092
Fisuc_0638,41.1452
Fisuc_0639,3.8574
Fisuc_0640,624.8925
Fisuc_0641,338.1620
Fisuc_0642,24.4300
Fisuc_0643,73.2899
Fisuc_0644,362.5919
Fisuc_0645,10.2863
Fisuc_0646,180.0102
Fisuc_0647,18.0010
Fisuc_0648,119.5782
Fisuc_0649,232.7274
Fisuc_0650,0.0000
Fisuc_0651,2.5716
Fisuc_0652,93.8624
Fisuc_0653,75.8614
Fisuc_0654,240.4422
Fisuc_0655,154.2944
Fisuc_0656,569.6036
Fisuc_0657,7580.9998
Fisuc_0658,6480.3662
Fisuc_0659,32.1447
Fisuc_0660,109.2919
Fisuc_0661,43.7168
Fisuc_0662,20.5726
Fisuc_0663,223.7269
Fisuc_0664,289.3021
Fisuc_0665,14.1437
Fisuc_0666,3.8574
Fisuc_0667,27.0015
Fisuc_0668,261.0147
Fisuc_0669,167.1523
Fisuc_0670,106.7203
Fisuc_0671,60.4320
Fisuc_0672,50.1457
Fisuc_0673,228.8701
Fisuc_0674,41.1452
Fisuc_0675,105.4345
Fisuc_0676,24.4300
Fisuc_0677,3.8574
Fisuc_0678,75.8614
Fisuc_0679,93.8624
Fisuc_0680,192.8680
Fisuc_0681,106.7203
Fisuc_0683,714.8975
Fisuc_0684,81.0046
Fisuc_0685,72.0041
Fisuc_0686,181.2960
Fisuc_0687,25.7157
Fisuc_0688,405.0229
Fisuc_0689,82.2904
Fisuc_0690,1292.2159
Fisuc_0691,24.4300
Fisuc_0692,144.0081
Fisuc_0693,21.8584
Fisuc_0694,51.4315
Fisuc_0695,84.8619
Fisuc_0696,298.3026
Fisuc_0699,69.4325
Fisuc_0700,343.3051
Fisuc_0701,253.3000
Fisuc_0702,230.1559
Fisuc_0704,30.8589
Fisuc_0705,312.4462
Fisuc_0706,54.0031
Fisuc_0707,387.0219
Fisuc_0708,66.8609
Fisuc_0709,27.0015
Fisuc_0710,50.1457
Fisuc_0711,145.2939
Fisuc_0712,64.2893
Fisuc_0713,46.2883
Fisuc_0714,489.8848
Fisuc_0715,180.0102
Fisuc_0716,39.8594
Fisuc_0717,101.5772
Fisuc_0718,495.0280
Fisuc_0719,465.4549
Fisuc_0720,482.1701
Fisuc_0721,297.0168
Fisuc_0722,129.8645
Fisuc_0723,266.1579
Fisuc_0724,16.7152
Fisuc_0725,82.2904
Fisuc_0726,87.4335
Fisuc_0727,186.4391
Fisuc_0728,169.7239
Fisuc_0729,56.5746
Fisuc_0730,48.8599
Fisuc_0731,141.4366
Fisuc_0732,15.4294
Fisuc_0733,29.5731
Fisuc_0734,52.7173
Fisuc_0735,86.1477
Fisuc_0736,65.5751
Fisuc_0737,142.7224
Fisuc_0738,24.4300
Fisuc_0739,54.0031
Fisuc_0741,725.1838
Fisuc_0742,299.5884
Fisuc_0743,108.0061
Fisuc_0744,27.0015
Fisuc_0745,222.4411
Fisuc_0746,12.8579
Fisuc_0747,29.5731
Fisuc_0748,18.0010
Fisuc_0749,1045.3448
Fisuc_0750,145.2939
Fisuc_0751,87.4335
Fisuc_0752,1037.6301
Fisuc_0753,230.1559
Fisuc_0754,168.4381
Fisuc_0755,38.5736
Fisuc_0756,78.4330
Fisuc_0757,23.1442
Fisuc_0758,286.7305
Fisuc_0759,466.7407
Fisuc_0760,30.8589
Fisuc_0761,271.3010
Fisuc_0762,18.0010
Fisuc_0763,19.2868
Fisuc_0764,37.2878
Fisuc_0765,5.1431
Fisuc_0766,65.5751
Fisuc_0767,977.1981
Fisuc_0768,205.7259
Fisuc_0769,30.8589
Fisuc_0770,24.4300
Fisuc_0771,334.3046
Fisuc_0772,1452.9392
Fisuc_0773,187.7249
Fisuc_0774,367.7351
Fisuc_0775,303.4457
Fisuc_0776,75.8614
Fisuc_0777,64.2893
Fisuc_0778,133.7218
Fisuc_0779,1089.0615
Fisuc_0780,33.4305
Fisuc_0781,129.8645
Fisuc_0782,73.2899
Fisuc_0783,55.2888
Fisuc_0784,60.4320
Fisuc_0785,91.2909
Fisuc_0786,244.2995
Fisuc_0787,51.4315
Fisuc_0788,124.7213
Fisuc_0789,61.7178
Fisuc_0790,63.0036
Fisuc_0791,45.0025
Fisuc_0792,294.4452
Fisuc_0793,928.3382
Fisuc_0794,510.4574
Fisuc_0796,20.5726
Fisuc_0797,59.1462
Fisuc_0798,57.8604
Fisuc_0799,164.5807
Fisuc_0800,50.1457
Fisuc_0801,212.1548
Fisuc_0802,36.0020
Fisuc_0803,6.4289
Fisuc_0804,5.1431
Fisuc_0805,10.2863
Fisuc_0806,36.0020
Fisuc_0807,60.4320
Fisuc_0808,239.1564
Fisuc_0809,361.3061
Fisuc_0810,20.5726
Fisuc_0811,51.4315
Fisuc_0812,132.4361
Fisuc_0814,369.0209
Fisuc_0815,198.0112
Fisuc_0816,165.8665
Fisuc_0817,707.1828
Fisuc_0818,653.1798
Fisuc_0819,506.6001
Fisuc_0820,1675.3804
Fisuc_0821,145.2939
Fisuc_0822,288.0163
Fisuc_0823,313.7320
Fisuc_0824,4083.6593
Fisuc_0826,11.5721
Fisuc_0828,1.2858
Fisuc_0829,160.7234
Fisuc_0830,231.4416
Fisuc_0831,145.2939
Fisuc_0832,59.1462
Fisuc_0833,176.1528
Fisuc_0834,0.0000
Fisuc_0835,136.2934
Fisuc_0837,3.8574
Fisuc_0838,1604.6621
Fisuc_0839,83.5762
Fisuc_0840,33.4305
Fisuc_0841,84.8619
Fisuc_0842,69.4325
Fisuc_0843,57.8604
Fisuc_0844,254.5858
Fisuc_0845,432.0244
Fisuc_0846,108.0061
Fisuc_0847,19.2868
Fisuc_0848,11.5721
Fisuc_0849,42.4310
Fisuc_0850,4529.8274
Fisuc_0851,569.6036
Fisuc_0852,73.2899
Fisuc_0853,15.4294
Fisuc_0854,259.7290
Fisuc_0855,97.7198
Fisuc_0856,108.0061
Fisuc_0857,158.1518
Fisuc_0858,1166.2088
Fisuc_0859,52.7173
Fisuc_0860,218.5838
Fisuc_0861,122.1498
Fisuc_0862,84.8619
Fisuc_0863,147.8655
Fisuc_0864,14.1437
Fisuc_0865,46.2883
Fisuc_0866,1172.6377
Fisuc_0867,617.1777
Fisuc_0868,30.8589
Fisuc_0869,38.5736
Fisuc_0870,55.2888
Fisuc_0871,105.4345
Fisuc_0872,1148.2077
Fisuc_0873,394.7366
Fisuc_0874,29.5731
Fisuc_0875,375.4498
Fisuc_0876,23.1442
Fisuc_0877,415.3092
Fisuc_0878,27.0015
Fisuc_0879,65.5751
Fisuc_0880,27.0015
Fisuc_0881,223.7269
Fisuc_0882,52.7173
Fisuc_0883,33.4305
Fisuc_0884,16.7152
Fisuc_0885,82.2904
Fisuc_0886,317.5894
Fisuc_0887,69.4325
Fisuc_0888,96.4340
Fisuc_0889,78.4330
Fisuc_0890,128.5787
Fisuc_0891,118.2924
Fisuc_0892,183.8675
Fisuc_0893,9.0005
Fisuc_0894,2.5716
Fisuc_0896,414.0234
Fisuc_0897,69.4325
Fisuc_0898,231.4416
Fisuc_0899,363.8777
Fisuc_0900,52.7173
Fisuc_0901,18.0010
Fisuc_0902,12.8579
Fisuc_0903,3.8574
Fisuc_0904,9.0005
Fisuc_0905,24.4300
Fisuc_0906,32.1447
Fisuc_0907,30.8589
Fisuc_0908,55.2888
Fisuc_0909,108.0061
Fisuc_0910,57.8604
Fisuc_0911,24.4300
Fisuc_0912,16.7152
Fisuc_0913,102.8630
Fisuc_0914,24.4300
Fisuc_0915,19.2868
Fisuc_0916,82.2904
Fisuc_0917,150.4371
Fisuc_0918,14.1437
Fisuc_0919,64.2893
Fisuc_0920,6.4289
Fisuc_0921,73.2899
Fisuc_0922,21.8584
Fisuc_0923,46.2883
Fisuc_0924,69.4325
Fisuc_0925,41.1452
Fisuc_0926,18.0010
Fisuc_0928,0.0000
Fisuc_0930,294.4452
Fisuc_0931,113.1493
Fisuc_0932,72.0041
Fisuc_0933,3.8574
Fisuc_0935,19.2868
Fisuc_0936,9.0005
Fisuc_0937,3.8574
Fisuc_0938,0.0000
Fisuc_0939,3.8574
Fisuc_0940,2.5716
Fisuc_0941,2.5716
Fisuc_0942,2.5716
Fisuc_0944,7.7147
Fisuc_0945,86.1477
Fisuc_0946,10.2863
Fisuc_0947,1198.3534
Fisuc_0948,689.1818
Fisuc_0949,572.1752
Fisuc_0950,201.8686
Fisuc_0951,524.6011
Fisuc_0952,156.8660
Fisuc_0953,525.8869
Fisuc_0954,3.8574
Fisuc_0955,16.7152
Fisuc_0956,32.1447
Fisuc_0958,0.0000
Fisuc_0959,29.5731
Fisuc_0961,88.7193
Fisuc_0962,21.8584
Fisuc_0963,654.4656
Fisuc_0964,344.5909
Fisuc_0965,280.3016
Fisuc_0966,55.2888
Fisuc_0967,117.0066
Fisuc_0968,86.1477
Fisuc_0969,70.7183
Fisuc_0970,136.2934
Fisuc_0971,128.5787
Fisuc_0972,16.7152
Fisuc_0973,153.0086
Fisuc_0974,165.8665
Fisuc_0975,466.7407
Fisuc_0976,15.4294
Fisuc_0977,129.8645
Fisuc_0978,401.1655
Fisuc_0979,104.1487
Fisuc_0980,110.5777
Fisuc_0981,83.5762
Fisuc_0982,91.2909
Fisuc_0983,104.1487
Fisuc_0984,133.7218
Fisuc_0985,182.5817
Fisuc_0986,131.1503
Fisuc_0987,69.4325
Fisuc_0988,101.5772
Fisuc_0989,54.0031
Fisuc_0990,78.4330
Fisuc_0991,33.4305
Fisuc_0992,48.8599
Fisuc_0993,171.0097
Fisuc_0994,91.2909
Fisuc_0995,144.0081
Fisuc_0996,91.2909
Fisuc_0997,108.0061
Fisuc_0998,87.4335
Fisuc_0999,30.8589
Fisuc_1000,403.7371
Fisuc_1001,299.5884
Fisuc_1002,9.0005
Fisuc_1003,284.1589
Fisuc_1004,181.2960
Fisuc_1005,78.4330
Fisuc_1006,270.0153
Fisuc_1007,226.2985
Fisuc_1008,212.1548
Fisuc_1009,230.1559
Fisuc_1010,102.8630
Fisuc_1012,3.8574
Fisuc_1013,1486.3697
Fisuc_1014,96.4340
Fisuc_1015,131.1503
Fisuc_1016,16.7152
Fisuc_1017,45.0025
Fisuc_1018,24.4300
Fisuc_1019,30.8589
Fisuc_1020,5.1431
Fisuc_1021,286.7305
Fisuc_1022,66.8609
Fisuc_1023,60.4320
Fisuc_1024,23.1442
Fisuc_1025,72.0041
Fisuc_1026,59.1462
Fisuc_1027,14.1437
Fisuc_1028,54.0031
Fisuc_1029,24.4300
Fisuc_1030,38.5736
Fisuc_1031,321.4467
Fisuc_1032,127.2929
Fisuc_1033,90.0051
Fisuc_1034,104.1487
Fisuc_1037,3.8574
Fisuc_1038,10.2863
Fisuc_1039,261.0147
Fisuc_1040,11.5721
Fisuc_1041,93.8624
Fisuc_1042,81.0046
Fisuc_1043,6.4289
Fisuc_1044,316.3036
Fisuc_1045,18.0010
Fisuc_1046,56.5746
Fisuc_1047,37.2878
Fisuc_1048,302.1599
Fisuc_1049,752.1854
Fisuc_1050,57.8604
Fisuc_1051,72.0041
Fisuc_1052,234.0132
Fisuc_1053,18.0010
