Gene	T389pH67_1	T401pH67_2	T455pH67_3	T642pH61_1	T665pH61_2	T672pH61_3	T652pH565_1	T671pH565_2	T699pH565_3	T723pH565_4
Fisuc_0234	110.5777	147.5235	125.7372	122.2188	102.8582	110.6300	76.6398	77.5927	74.6745	76.3604
Fisuc_0235	210.8691	192.8158	179.0802	153.9051	174.8589	160.7591	102.3614	120.1250	101.1893	78.7027
Fisuc_0236	21.8584	20.7051	13.9708	6.7899	14.6940	6.9144	16.2728	10.9205	10.8224	14.0541
Fisuc_0237	14.1437	14.2347	17.7810	13.5799	11.7552	8.6430	13.6482	9.1962	15.6925	13.5856
Fisuc_0239	33.4305	56.9389	21.5912	18.1065	26.4492	34.5719	46.7188	48.8547	43.2895	49.6577
Fisuc_0240	133.7218	135.8769	138.4379	67.8993	105.7970	98.5298	132.2824	142.5407	142.8555	141.9459
Fisuc_0241	258.4432	258.8131	274.3356	194.6447	195.4305	203.9740	260.3653	274.1609	247.8326	217.3693
Fisuc_0242	167.1523	120.3481	179.0802	74.6892	76.4089	98.5298	120.7339	147.1388	141.2321	124.6126
Fisuc_0243	14.1437	12.9407	25.4014	15.8432	14.6940	10.3716	11.0235	12.0700	9.7401	13.5856
Fisuc_0244	83.5762	111.2897	120.6569	101.8490	121.9604	140.0160	135.9569	162.0825	193.7207	154.5946
Fisuc_0245	538.7447	577.1533	497.8684	577.1441	446.6983	435.6054	217.8460	207.4886	200.2141	223.9279
Fisuc_0246	90.0051	78.9380	59.6934	65.6360	51.4291	55.3150	35.1703	35.0604	28.6793	31.3874
Fisuc_0247	173.5812	239.4022	176.5401	83.7425	98.4500	89.8868	83.4639	87.9384	56.8175	45.4414
Fisuc_0248	732.8986	566.8008	609.6348	463.9786	484.9028	466.7201	354.8527	343.7069	354.4331	352.2882
Fisuc_0249	262.3005	187.6395	287.0364	210.4879	217.4716	221.2599	195.7989	205.1896	229.4345	189.2612
Fisuc_0250	72.0041	47.8804	58.4233	76.9526	60.2455	53.5864	43.0443	30.4623	39.5017	37.4775
Fisuc_0251	165.8665	125.5244	190.5109	199.1713	186.6141	155.5734	181.6258	153.4611	153.1367	130.7027
Fisuc_0252	777.9011	472.3340	662.9778	473.0319	451.1065	490.9204	443.5659	491.9952	503.2409	506.4144
Fisuc_0253	95.1482	93.1727	86.3649	110.9022	91.1029	121.0015	70.8656	78.1675	70.8866	66.0540
Fisuc_0254	77.1472	84.1143	68.5839	47.5295	44.0821	53.5864	41.9944	36.2099	29.7616	27.1712
Fisuc_0255	101.5772	128.1125	114.3065	79.2159	79.3477	60.5008	67.1910	71.2703	56.8175	48.7207
Fisuc_0256	108.0061	99.6431	129.5474	113.1655	111.6746	81.2439	94.4874	97.1346	106.6005	95.0991
Fisuc_0257	194.1538	160.4641	172.7298	74.6892	99.9194	98.5298	61.9417	77.0179	59.5231	52.9369
