Name,wildtype-rep1
CPE0679,10
CPE0680,4
CPE0681,1
CPE0682,1
CPE0683,1
CPE0684,1
CPE0685,5
CPE0686,7
CPE0687,3
CPE0688,162
CPE0689,4635
CPE0690,0
CPE0691,3
CPE0692,91
CPE0693,137
CPE0694,65
CPE0695,11
CPE0696,11
CPE0697,20
CPE0698,45
CPE0699,4
CPE0700,24
CPE0701,13
CPE0702,26
CPE0703,14
CPE0704,4
CPE0705,3
CPE0706,5
CPE0707,57
CPE0708,31
CPE0709,53
CPE0710,14
CPE0711,12
CPE0712,19
CPE0713,45
CPE0714,133
CPE0715,164
CPE0716,0
CPE0717,6
CPE0718,26
CPE0719,19
CPE0720,43
CPE0721,42
CPE0722,29
CPE0723,26
CPE0724,1
CPE0725,6
CPE0726,2
CPE0727,21
CPE0728,5
CPE0729,2
CPE0730,9
CPE0731,4
CPE0732,27
CPE0733,47
CPE0734,111
CPE0735,40
CPE0736,14
CPE0737,15
CPE0738,47
CPE0739,10
CPE0740,52
CPE0741,35
CPE0742,28
CPE0743,103
CPE0744,48
CPE0745,3
CPE0746,7
CPE0747,8
CPE0748,10
CPE0749,44
CPE0750,14
CPE0751,0
CPE0752,92
CPE0753,93
CPE0754,38
CPE0755,84
CPE0756,9
CPE0757,4
CPE0758,37
CPE0759,50
CPE0760,18
CPE0761,16
CPE0762,125
CPE0763,62
CPE0764,0
CPE0765,9
CPE0766,38
CPE0767,23
CPE0768,3573
CPE0769,10
CPE0770,12
CPE0771,7
CPE0772,41
CPE0773,1
CPE0774,19
CPE0775,24
CPE0776,24
CPE0777,1
CPE0778,172
CPE0779,27
CPE0780,74
CPE0781,97
CPE0782,428
CPE0783,103
CPE0784,38
CPE0785,5
CPE0786,6
CPE0787,31
CPE0788,72
CPE0789,128
CPE0790,34
CPE0791,92
CPE0792,22
CPE0793,2
CPE0794,4
CPE0795,6
CPE0796,31
CPE0797,103
CPE0798,8
CPE0799,18
CPE0800,5
CPE0801,139
CPE0802,0
CPE0803,1
CPE0804,129
CPE0805,8
CPE0806,93
CPE0807,3
CPE0808,149
CPE0809,475
CPE0810,19
CPE0811,2
CPE0812,2
CPE0813,0
CPE0814,52
CPE0815,19
CPE0816,10
CPE0817,18
CPE0818,135
CPE0819,2
CPE0820,19
CPE0821,125
CPE0822,145
CPE0823,224
CPE0824,204
CPE0825,15
CPE0826,101
CPE0827,388
CPE0828,87
CPE0829,180
CPE0830,1
CPE0831,59
CPE0832,2
CPE0833,31
CPE0834,20
CPE0835,39
CPE0836,27
CPE0837,6
CPE0838,4
CPE0839,20
CPE0840,20
CPE0841,15
CPE0842,1
CPE0843,4
CPE0844,150
CPE0845,805
CPE0846,511
CPE0847,1
CPE0848,21
CPE0849,7
CPE0850,4
CPE0851,7
CPE0852,36
CPE0853,62
CPE0854,35
CPE0855,28
CPE0856,23
CPE0857,138
CPE0858,86
CPE0859,14
CPE0860,7
CPE0861,3
CPE0862,35
CPE0863,161
CPE0864,17
CPE0865,2
CPE0866,34
CPE0867,0
CPE0868,35
CPE0869,20
CPE0870,43
CPE0871,87
CPE0872,55
CPE0873,0
CPE0874,25
CPE0875,82
CPE0876,35
CPE0877,103
CPE0878,149
CPE0879,32
CPE0880,0
CPE0881,80
CPE0882,67
CPE0883,38
CPE0884,43
CPE0885,59
CPE0886,11
CPE0887,6
CPE0888,45
CPE0889,28
CPE0890,9
CPE0891,5
CPE0892,57
CPE0893,140
CPE0894,35
CPE0895,31
CPE0896,65
CPE0897,31
CPE0898,10
CPE0899,1
CPE0900,3
CPE0901,1
CPE0902,4
CPE0903,97
CPE0904,4
CPE0905,4
CPE0906,11
CPE0907,2
CPE0908,3
CPE0909,11
CPE0910,8
CPE0911,43
CPE0912,27
CPE0913,17
CPE0914,28
CPE0915,36
CPE0916,30
CPE0917,19
CPE0918,10
CPE0919,0
CPE0920,4
CPE0921,1
CPE0922,202
CPE0923,88
CPE0924,467
CPE0925,9
CPE0926,519
CPE0927,15
CPE0928,34
CPE0929,8
CPE0930,1
CPE0931,1
CPE0932,2
CPE0933,1
CPE0934,3
CPE0935,1
CPE0936,25
CPE0937,86
CPE0938,79
CPE0939,345
CPE0940,2
CPE0941,1
CPE0942,10
CPE0943,17
CPE0944,23
CPE0945,35
CPE0946,1
CPE0947,62
CPE0948,25
CPE0949,66
CPE0950,80
CPE0951,24
CPE0952,0
CPE0953,55
CPE0954,31
CPE0955,1
CPE0956,9
CPE0957,1104
CPE0958,50
CPE0959,0
CPE0960,16
CPE0961,64
CPE0962,31
CPE0963,154
CPE0964,3
CPE0965,40
CPE0966,46
CPE0967,229
CPE0968,12
CPE0969,31
CPE0970,29
CPE0971,5
CPE0972,11
CPE0973,32
CPE0974,130
CPE0975,35
CPE0976,19
CPE0977,74
CPE0978,29
CPE0979,383
CPE0980,5
CPE0981,66
CPE0982,206
CPE0983,130
CPE0984,2
CPE0985,352
CPE0986,323
CPE0987,5
CPE0988,8
CPE0989,6
CPE0990,37
CPE0991,41
CPE0992,275
CPE0993,60
CPE0994,28
CPE0995,258
CPE0996,49
CPE0997,45
CPE0998,68
CPE0999,2650
CPE1000,19
CPE1001,9
CPE1002,22
CPE1003,84
CPE1004,153
CPE1005,16
CPE1006,547
CPE1007,14
CPE1008,19
CPE1009,398
CPE1010,6
CPE1011,6
CPE1012,483
CPE1013,252
CPE1014,485
CPE1015,207
CPE1016,44
CPE1017,26
CPE1018,20
CPE1019,16
CPE1020,15
CPE1021,17
CPE1022,34
CPE1023,3
CPE1024,0
CPE1025,6
CPE1026,52
CPE1027,9
CPE1028,18
CPE1029,15
CPE1030,1013
CPE1031,71
CPE1032,5
CPE1033,7
CPE1034,13
CPE1035,7
CPE1036,12
CPE1037,5
CPE1038,12
CPE1039,9
CPE1040,7
CPE1041,120
CPE1042,35
CPE1043,16
CPE1044,25
CPE1045,117
CPE1046,7
CPE1047,1
CPE1048,9
CPE1049,46
CPE1050,1
CPE1051,56
CPE1052,7
CPE1053,1
CPE1054,0
CPE1055,18
CPE1056,31
CPE1057,185
CPE1058,24
CPE1059,71
CPE1060,129
CPE1061,38
CPE1062,0
CPE1063,0
CPE1064,1
