Feature ID,UK
pduT,162
pduU,133
pduV,78
pduW,737
pduX,924
pdxA (NC_011294 103049..104039),1512
pdxA (NC_011294 194184..195168),1395
pdxB,555
pdxH,855
pdxJ,467
pdxK,261
pdxY,659
pegA,1208
pegB,110
pegC,578
pegD,891
pepA,1482
pepB,968
pepD,5076
pepE,1034
pepN,5468
pepP,3320
pepQ,1326
pepT,6100
perM,824
pfkA,11536
pfkB,954
pflA,6322
pflB,53158
pflC,3614
pflD,3140
pflE,371
pflF,1064
pfs,392
pgi,6639
pgk,13117
pgm,4367
pgpA,722
pgpB,1231
pgsA,1285
pgtA,1894
pgtB,4221
pgtC,3231
pgtE,562
pgtP,1748
pheA,4578
pheP,771
pheS,2354
pheT,19070
phnA,797
phnB,1411
phnO,1691
phnR,159
phnS,22
phnT,113
phnU,67
phnV,179
phnW,57
phnX,38
phoB,1258
phoE,489
phoH,1997
phoL,7818
phoN,1954
phoP,9162
phoQ,6680
phoR,925
phoU,320
phrB,755
phsA,10197
phsB,2720
phsC,7911
pipA,1138
pipB,1413
pipC,6863
pipD,12281
pitA,2607
pldA,2153
pldB,1445
plsB,4714
plsC,1053
plsX,1425
pmbA,1594
pmgI,2699
pmrD,6678
pmrF,414
pncA,176
pncB,792
pnp,9131
pntA,5247
pntB,3131
pnuC,1238
pocR,4079
polA,6183
polB,751
potA,1674
potB,597
potC,726
potD,1554
potE,983
potF,660
potG,251
potH,176
potI,126
poxB,1282
ppa,3241
ppc,1667
ppdA,9
ppdB,111
ppdC,50
ppdD,22
pphA,578
pphB,792
ppiA,2288
ppiB,7074
ppiC,1042
ppk,8865
ppnK,1381
pps,14309
ppx,2439
pqaA,1574
pqiA,1457
pqiB,2751
prc,7798
prfA,1331
prfB,3937
prfC,1431
prfH,133
prgH,10149
prgI,2915
prgJ,3059
prgK,4895
priA,508
priB,2099
priC,189
prkB,951
prlC,2215
prmA,161
proA,918
proB,1376
proC,715
proP,10243
proQ,2723
proS,1835
proV,132
proW,50
proX,189
proY,680
prpB,26
prpC,222
prpD,233
prpE,175
prpR,738
prsA,3880
psd,2092
psiF,3229
pspA,822
pspB,194
pspC,502
pspD,123
pspE,8655
pspF,379
pspG,110
pssA,11606
pstA,265
pstB,786
pstC,294
pstS,739
pta,2266
pth,1226
ptpS,414
ptr,2106
ptrB,17152
ptsA,1803
ptsG,5517
ptsH,7947
ptsI,42496
ptsJ,101
ptsN,1541
ptsO,466
ptsP,3435
ptxA,213
pudB,540
purA,11171
purB,1866
purC,709
purD,198
purE,58
purF,1778
purG,768
purH,370
purK,153
purM,371
purN,316
purR,748
purT,123
purU,3170
putA,6673
putP,1771
pykA,8186
pykF,10042
pyrB,137
pyrC,824
pyrD,958
pyrE,75
pyrF,319
pyrG,11808
pyrH,1705
pyrI,184
pyrL,7
qor,1473
queA,365
queF,1125
radA,253
radC,437
rarD,458
ratA,4694
ratB,1627
rbfA,1105
rbn,4120
rbsA,645
rbsB,44948
rbsC,537
rbsD,1305
rbsK,2736
rbsR,1949
rcnA,545
rcsA,388
rcsB,4739
rcsC,1426
rcsF,510
rdgC,849
recA,21880
recB,1890
recC,1533
recD,352
recF,1094
recG,814
recJ,1339
recN,3203
recO,700
recQ,2515
recR,201
recX,410
relA,7198
rep,1608
res,2886
rfaB,2379
rfaC,1258
rfaD,11481
rfaE,982
rfaF,1787
rfaG,2733
rfaH,1568
rfaI,4176
rfaJ,2506
rfaK,3422
rfaL,3211
rfaP,1899
rfaQ,2965
rfaY,2542
rfaZ,1932
rfbA,3921
rfbB,8746
rfbC,5065
rfbD,4320
rfbE,21462
rfbF,9922
rfbG,15843
rfbH,17359
rfbI (NC_011294 2178773..2179748),8353
rfbI (NC_011294 596817..597180),253
rfbK,9958
rfbM,8759
rfbN,5634
rfbP,8819
rfbS,6744
rfbU,5805
rfbV,10811
rfbX,10986
rfc,4670
rfe,8224
rffG,838
rhaA,28
rhaB,148
rhaD,214
rhaR,882
rhaS,1453
rhaT,188
rhlB,2853
rhlE,113
rho,55437
rhtB,183
rhtC,260
rhuM,1310
ribA,3423
ribB,5029
ribD,1573
ribE,2349
ribF,1093
ribH,2267
rihA,468
rihC,718
rimI,615
rimJ,5035
rimK,409
rimL,1830
rimM,14928
rimO,1061
rlmL,1258
rlpA,800
rlpB,2472
rluA,330
rluC,191
rluD,2860
rmbA,61
rmf,62036
rna,6693
rnb,2109
rnc,4819
rnd,183
rne,5244
rnfA,1280
rnfB,303
rnfC,552
rnfD,271
rnfE,185
rnfG,330
rnhA,683
rnhB,222
rnk,473
rnpA,1768
rnt,1010
rob,4281
rof,3613
rpe,535
rph,519
rpiA,5126
rplA,12458
rplB,6946
rplC,15670
rplD,7221
rplE,26795
rplF,12553
rplI,2398
rplJ,16408
rplK,12186
rplL,15932
rplM,12134
rplN,15801
rplO,10153
rplP,3921
rplQ,4111
rplR,5928
rplS,4271
rplT,20823
rplU,24774
rplV,5547
rplW,7075
rplX,15901
rplY,2562
rpmA,13938
rpmB,9133
rpmC,2415
rpmD,2769
rpmE,5740
rpmE2,419
rpmF,2537
rpmG,5657
rpmH,1874
rpmI,18754
rpmJ (NC_011294 3467494..3467611),5259
rpmJ (NC_011294 505989..506130),547
rpoA,27224
rpoB,21762
rpoC,36470
rpoD,28450
rpoE,7069
rpoH,19738
rpoN,5799
rpoS,19250
rpoZ,1423
rpsA,60260
rpsB,22228
rpsC,6065
rpsD,23688
rpsE,10435
rpsF,2400
rpsG,11145
rpsH,13367
rpsI,5049
rpsJ,3512
rpsK,9802
rpsL,8314
rpsM,12108
rpsN,8504
rpsO,5600
rpsP,2461
rpsQ,2538
rpsR,2241
rpsS,3840
rpsT,9327
rpsU,3338
rpsV,30242
rrmA,225
rrmJ,12336
rsd,3080
rseA,8784
rseB,2327
rseC,209
rsmC,167
rsmD,378
rspA,206
rspB,253
rstA,2495
rstB,253
rsuA,1222
rtcA,115
rtcB,438
rtcR,343
rtn,2668
rumA,2688
rumB,445
ruvA,351
ruvB,302
ruvC,351
safA,524
safB,438
safC,1759
safD,201
sanA,1314
sapA,2257
sapB,273
sapC,189
sapD,533
sapF,343
sbcB,1130
sbcC,263
sbcD,439
sbmA,1840
sbmC,10516
sbp,911
scsA,65
scsB,152
scsC,84
scsD,8
sdaA,4385
sdaB,10480
sdaC,21366
sdhA,10635
sdhB,15503
sdhC,17148
sdhD,10981
sdiA,6320
secA,9224
secB,10231
secD,3729
secE,2066
secF,4733
secG,6176
secY,48453
selA,1283
selB,1780
selD,896
SEN0013,374
SEN0014,137
SEN0015,58
SEN0016,93
SEN0017,3278
SEN0018,525
SEN0019,94
SEN0028,108
SEN0029,55
SEN0030,97
SEN0031,57
SEN0032,539
SEN0033,997
SEN0034,84
SEN0035,1181
SEN0036,512
SEN0037,212
SEN0038,1486
SEN0041,775
SEN0042,436
SEN0053,1501
SEN0054,3679
SEN0055,112
SEN0056,202
SEN0057,64
SEN0058,3410
SEN0081,638
SEN0083,680
SEN0084,1226
SEN0085,1760
SEN0100,100
SEN0101,131
SEN0110A,7655
SEN0110B,397
SEN0139,475
SEN0141,2237
SEN0152,329
SEN0153,328
SEN0159,29
SEN0160,242
SEN0163,460
SEN0164,169
SEN0167,254
SEN0169,1938
SEN0206,742
SEN0216,1576
SEN0218,1852
SEN0222A,7328
SEN0240,545
SEN0249,1166
SEN0259,88
SEN0267,57
SEN0268,48
SEN0269,39
SEN0270,172
SEN0271,4
SEN0272,9887
SEN0273,2830
SEN0274,62
SEN0276,61
SEN0277,217
SEN0278,72
SEN0280,52
SEN0280A,75
SEN0286,20
SEN0288,192
SEN0289,2062
SEN0290,640
SEN0297,191
SEN0306,383
SEN0307,378
SEN0308,54
SEN0310,8350
SEN0311,1358
SEN0312,365
SEN0313,294
SEN0314,360
SEN0315,923
SEN0316,1275
SEN0317,176
SEN0318,112
SEN0324,980
SEN0325,323
SEN0326,1451
SEN0327,2244
SEN0328,578
SEN0329,229
SEN0330,350
SEN0331,269
SEN0332,338
SEN0333,64
SEN0334,160
SEN0335,25
SEN0336,98
SEN0337,154
SEN0338,38
SEN0339,749
SEN0342,816
SEN0343,1937
SEN0344,877
SEN0345,152
SEN0346,234
SEN0364,1294
SEN0365,675
SEN0385,19482
SEN0392,400
SEN0393,442
SEN0419,993
SEN0420,939
SEN0440,434
SEN0460,1266
SEN0478,817
SEN0490,2063
SEN0501,248
SEN0519,570
SEN0520,261
SEN0532,102
SEN0534,134
SEN0534A,56
SEN0535,522
SEN0537A,132
SEN0538,136
SEN0538A,45
SEN0539,181
SEN0540,2625
SEN0541,69
SEN0542,136
SEN0543,2541
SEN0550,420
SEN0551,810
SEN0579,30
SEN0580,523
SEN0581,51
SEN0582,219
SEN0618,350
SEN0619,554
SEN0620,573
SEN0621,3146
SEN0629,1442
SEN0641,1698
SEN0655,72
SEN0656,299
SEN0663,526
SEN0681,11533
SEN0706,636
SEN0707,652
SEN0708,3799
SEN0709,699
SEN0710,263
SEN0712,11
SEN0713,2
SEN0714,12
SEN0715,123
SEN0716,86
SEN0722,238
SEN0725,4820
SEN0735,1446
SEN0744A,151
SEN0755,663
SEN0756,756
SEN0764,789
SEN0780,422
SEN0784,279
SEN0800,187
SEN0801,537
SEN0802,753
SEN0803,789
SEN0804,1000
SEN0805,2295
SEN0806,1385
SEN0807,223
SEN0813,416
SEN0814,188
SEN0815,259
SEN0816,1359
