Gene.ID,24hpi_CtE_Hep2_MOI_1_rRNAdep.Avg.RPKM
CT565,11.9080137
CT566,0.2098579
CT567,0.3026761
CT568,0.4621983
CT569,0.5066634
CT570,0.1636919
CT571,0.2269339
CT572,0.2131582
CT573,0.1813693
CT574,0.3728256
CT575,0.2809126
CT576,0.4575127
CT577,0.3229087
CT578,0.2540295
CT579,0.3210336
CT580,0.1683106
CT581,0.4007811
CT582,1.1289259
CT583,0.6240268
CT584,1.4791981
CT585,0.8063894
CT586,0.1869607
CT587,0.8148727
CT588,0.1202816
CT589,0.0829002
CT590,0.2543623
CT591,0.1489580
CT592,0.0665368
CT593,0.0644488
CT593.1,0.1858606
CT594,0.2497548
CT595,0.1622825
CT596,0.3305984
CT597,0.1157221
CT598,0.0766681
CT599,0.4090665
CT600,1.2653553
CT601,0.8268329
CT602,2.0958321
CT603,3.8992822
CTt23,0.7389557
CT604,0.2063863
CT605,0.1253448
CT606,0.4895668
CT606.1,0.7634299
CT607,0.0941979
CT608,0.5707721
CT609,0.1343285
CT610,3.2442329
CT611,1.5148242
CT612,1.2055862
CT613,2.0587913
CT614,1.4130398
CT615,0.5791229
CT616,0.2142547
CT617,7.8483893
CT618,0.8677423
CT619,0.1303034
CT620,0.2126363
CT621,1.2486130
CT622,0.2279038
CT623,0.6193911
CT624,0.2978280
CT625,0.7089457
CT626,2.3769420
CT627,0.6551202
CT628,0.3893612
CT629,0.5445674
CT630,0.7483154
CT631,0.5812254
CTt24,0.5547555
CT632,0.4864296
CT633,0.2008453
CT634,0.6049670
CT635,0.4884129
CT636,0.3859777
CTt25,0.0698573
CT637,0.3259775
CT638,0.1166797
CT638.1,0.0931277
CT639,0.1124437
CT640,0.1763266
CT641,0.3498559
CT642,0.1486720
CT643,0.5061461
CT644,0.2567331
CT645,0.0642013
CT646,0.0143123
CT647,0.1163619
CT648,0.0940200
CT649,0.0006490
CT650,0.2161297
CT651,0.0055003
CT652,0.0309440
CT652.1,0.7966605
CT653,0.3763642
CT654,0.6588156
CT655,2.1122960
CTt26,0.1319233
CT656,1.4179987
