key	KN1_R2	KN2_R2	KN3_R2	KN4	KN5	KN6	KN7	KN8	KN9	KN10	KN11	KN12_R1	KN13_R1	KN14_R1
BSU22190	2261.1	2456.5	2310.3	603.2	800.6	1193.2	1566.4	0	1932.5	1634.6	2330.6	1444.3	732.7	1207.8
BSU22200	11222.9	18584.7	15488.4	6177.8	17359.1	13907.6	13214.2	3.2	16234.7	17722.1	35039.4	14614	11255.7	11257.3
BSU22210	7145.6	4576.2	2532.4	398.6	754.5	1602.6	1235.8	0	4628.5	3778.3	2573.9	467.4	875.6	996.2
BSU22220	5185.7	3566.3	1944.4	1131.2	1539.9	1856.5	1752.7	0	4610.8	2897.3	2764.4	1394	1380.7	1532.5
BSU22230	6627	6566.6	4091.2	11449.7	37421.3	17544.5	10799.8	0	8033.7	5512.9	8079.8	30913.5	24851.4	12889.3
BSU22240	0	0	0	0	0	0	0	0	0	0	1.8	0	0	0
BSU22250	134.9	273.4	186	0	294.1	1097	754.9	0	480.3	314.4	225	1043	1934.1	1465.3
BSU22260	7156.6	7798.8	3836.2	5792.4	2841	4823.5	8691.9	0	7713.2	6120.8	6776.2	1248.9	4741.3	8363.9
BSU22270	1667.4	1563.9	1571.3	1105.9	11321.9	5264.5	3073.6	0	2214.3	1178.6	1114.7	13105	11020.3	6973.3
BSU22280	101.5	176.3	446.9	0	34.5	47.8	0	0	29.9	78.2	64.4	0	73.8	148.9
BSU22290	7265.8	8141.1	11533.1	10665427.8	68396.3	13225.6	11892	19106.1	14457.3	9863.9	4191.1	102706.9	32342.4	26042.2
BSU22300	0	11.1	21.7	0	30.3	0	7	0	26.8	20.3	16.2	5.4	14.9	4.1
BSU22310	7445.3	5956.2	4232.9	11380.2	20514.4	19082.3	14296.3	0.8	16519.3	6470.5	5963.3	12038.4	16879.5	12490.6
BSU22320	38977.5	27914.5	22896.5	45005.5	51718.8	55153.1	34076.1	1.1	44761.2	25018.6	29283.4	38989.2	48037.9	41446.3
BSU22330	7023.3	7826.8	6440.8	12213.3	21746.7	6958.5	6832.6	0	5358.8	6402.8	8127.8	12592.1	7406.9	7476.9
BSU22340	8417.4	7646.9	5319.9	9239.2	19141.8	6316.5	6272.9	0	4983.8	5678.1	9136.5	13498.7	5503.3	5292.4
BSU22350	6064.5	5331.4	4429.8	4803.3	15402.9	6155	5434.9	0	5121.3	5860.9	7140.1	7848.5	5008.9	4728.8
